Unnamed: 0,name,link,category,subcategory,price,size,condition,color,views,interested
241,Tee shirt garçon en taille 8; ans de la marque Adidas,https://www.vinted.fr/enfants/garcons/chemises-and-t-shirts/t-shirts/2829422263-tee-shirt-garcon-en-taille-8-ans-de-la-marque-adidas,Chemises & t-shirts,T-shirts,3.0,8 ANS / 122-128 CM,3,"NOIR, ROUGE",26,2.0
242,jogging adidas,https://www.vinted.fr/hommes/vetements/pantalons/jogging/2915917605-jogging-adidas,Pantalons,Jogging,30.0,S,4,ROSE,15,0.0
243,Jogging adidas vintage bleu,https://www.vinted.fr/hommes/vetements/pantalons/jogging/2917010659-jogging-adidas-vintage-bleu,Pantalons,Jogging,35.0,L,3,BLEU,38,1.0
244,Adidas campus 00s,https://www.vinted.fr/femmes/chaussures/baskets-2632/2907356219-adidas-campus-00s,Chaussures,Baskets,140.0,38,4,ROUGE,220,12.0
245,T-shirt adidas bleu,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/hauts-and-t-shirts/2901497407-t-shirt-adidas-bleu,Vêtements de sport & accessoires,Hauts & t-shirts,5.0,S,5,BLEU,41,1.0
246,Veste Adidas Vintage,https://www.vinted.fr/hommes/vetements/manteaux-and-vestes/vestes/vestes-coupe-vent/2903381700-veste-adidas-vintage,Vestes,Vestes coupe-vent,35.0,S,3,"BLEU, TURQUOISE",129,18.0
247,"Adidas daim noir / blanc taille 38,5",https://www.vinted.fr/femmes/chaussures/baskets-2632/2911545225-adidas-daim-noir-blanc-taille-385,Chaussures,Baskets,5.0,38.5,1,"NOIR, BLANC",99,11.0
248,Jdogging Adidas,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/survetements/2910762666-jdogging-adidas,Vêtements de sport & accessoires,Survêtements,12.0,XS,4,"NOIR, BLANC",65,2.0
249,Maillot Réal Madrid 20/21,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/hauts-and-t-shirts/2873913647-maillot-real-madrid-2021,Vêtements de sport & accessoires,Hauts & t-shirts,25.0,M,4,ROSE,297,23.0
250,veste Adidas femme rétro noir taille M,https://www.vinted.fr/femmes/vetements/sweats-and-sweats-a-capuche/vestes/2907337265-veste-adidas-femme-retro-noir-taille-m,Sweats et sweats à capuche,Vestes,20.0,M / 38 / 10,3,NOIR,19,0.0
